,,"Schweizerische Eidgenossenschaft
Confédération suisse
Confederazione Svizzera
Confederaziun svizra",,,Swiss automatic road traffic counts (SARTC),,,,,,,,,,,,,
,,,,,Class of vehicle :,volume - motor vehicle,,,,,"Source: Federal Roads Office (FEDRO) / Traffic Monitoring
Questions: verkehrsdaten@astra.admin.ch",,,,,,,
,,,,,Road network :,National and principal road network,,,,,,,,,,,,
Year :,,2025,,,Direction of traffic :,2 directions,,,,,,,,,© FEDRO,,,
,,,,,Monthly and annual 24-hour traffic averages (ADT),,,,,,,,,,,,,
,,Annual bulletin,,,,January,February,March,April,Mai,June,July,August,September,October,November,December,Year :
Nr.,Measuring station,,Ct,Road,,01,02,03,04,05,06,07,08,09,10,11,12,2025
002,CHALET-A-GOBET,,VD,H 1,ADT,"15,106","16,140","16,750","16,354","17,488","17,221","15,592","16,004","17,000","16,489","16,417","15,182","16,308"
,,,,,AWT,"16,870","17,812","18,562","18,380","19,041","19,292","17,016","17,930","18,317","17,925","18,210","17,033","18,014"
,,,,,ADT Tu-Th,"16,876","17,898","18,656","18,328","19,264","19,317","17,076","17,707","18,699","18,038","18,400","16,863","18,064"
,,,,,ADT Sa,"12,507","13,458","14,613","14,165","15,791","14,972","12,699","13,733","14,980","13,734","14,706","13,267","14,103"
,,,,,ADT Su,"9,420","10,459","11,273","11,058","12,665","11,815","10,297","11,475","11,780","10,992","10,954","9,982","11,028"
003,BRISSAGO S,,TI,H 13,ADT,"6,394","7,069","7,800","9,395","9,715","10,384","11,057","10,551","10,213","9,450","7,257","6,768","8,847"
,,,,,AWT,"7,080","7,842","8,539","9,924","9,910","10,657","11,362","10,643","10,513","9,759","8,147","7,478","9,334"
,,,,,ADT Tu-Th,"7,213","7,757","8,454","9,882","9,752","10,564","11,209","10,523","10,407","9,619","8,149","7,474","9,284"
,,,,,ADT Sa,"5,270","5,403","6,308","8,524","8,999","9,695","9,970","10,076","9,171","8,437","5,850","6,007","7,809"
,,,,,ADT Su,"4,276","4,873","6,191","8,215","9,613","9,934","10,395","10,641","9,608","8,690","5,106","4,787","7,694"
006,"MUTTENZ, A2/ZUBR. SCHAENZLI",,BL,H 18,ADT,"65,469","70,295","67,874","66,891","68,163","68,616","61,732","62,723","65,840","66,122","67,057","61,912","66,011"
,,,,,AWT,"73,347","77,718","75,537","75,771","74,744","77,455","67,947","71,074","71,117","71,735","74,599","69,240","73,254"
,,,,,ADT Tu-Th,"74,208","78,201","76,375","75,768","75,524","78,561","68,996","71,910","71,855","72,129","74,905","68,981","73,810"
,,,,,ADT Sa,"54,911","58,863","58,933","57,539","60,804","59,354","48,764","53,345","57,380","55,851","59,177","54,363","56,719"
,,,,,ADT Su,"39,255","44,609","44,633","43,525","47,881","45,329","38,961","42,698","45,271","44,121","44,766","41,300","43,527"
009,"BRUENIG, LETZI",,OW,A 8,ADT,"6,839","7,462","7,289","8,144","9,127",,"11,556",,"10,098","8,603","6,069","6,989",
,,,,,AWT,"6,180","6,570","6,627","7,349","8,204",,"10,817",,"9,053","8,115","5,741","6,431",
,,,,,ADT Tu-Th,"5,760","6,078","6,308","7,121","7,558",,"10,743",,"8,369","7,881","5,550","6,204",
,,,,,ADT Sa,"8,414","10,304","8,725","10,157","11,016",,"14,299",,"12,845","10,192","7,089","8,113",
,,,,,ADT Su,"8,482","9,083","8,631","9,453","11,118",,"13,067",,"13,095","9,823","6,364","8,192",
010,"HOSPENTAL S, ST. GOTTHARD",,UR,H 2,ADT,,,,,"3,724","5,543","6,418","7,218","4,861","3,165",,,"5,400"
,,,,,AWT,,,,,"2,622","4,431","5,484","5,636","4,312","2,315",,,"4,375"
,,,,,ADT Tu-Th,,,,,"2,199","4,205","4,555","4,704","3,807","1,944",,,"3,808"
,,,,,ADT Sa,,,,,"5,348","7,470","9,975","10,163","5,401","4,694",,,"7,492"
,,,,,ADT Su,,,,,"5,772","7,968","8,233","10,035","7,342","6,169",,,"7,929"
014,"JULIER, SILVAPLANA",,GR,H 3,ADT,"3,775","4,811","4,262","3,248","2,506","3,534","3,978","4,518","3,447","3,392","2,263","3,809","3,624"
,,,,,AWT,"3,365","3,905","3,702","3,060","2,475","3,278","3,784","4,284","3,176","3,198","2,313","3,473","3,336"
,,,,,ADT Tu-Th,"2,927","3,368","3,326","2,925","2,377","3,181","3,619","4,019","2,931","2,965","2,192","3,215","3,093"
,,,,,ADT Sa,"4,933","7,676","5,226","3,579","2,537","3,743","4,514","4,621","3,868","3,907","2,078","4,399","4,207"
,,,,,ADT Su,"4,654","6,471","5,649","3,658","2,604","4,250","4,563","5,210","4,513","3,991","2,246","4,590","4,336"
017,BUCHS AG (AB),,AG,A 1R,ADT,"38,702","41,057","42,945","41,248","42,891","41,135","37,488","39,580","42,426","42,117","43,157","39,561","41,015"
,,,,,AWT,"43,578","45,805","48,060","47,309","47,970","47,003","41,585","45,829","46,179","46,106","48,272","44,826","45,984"
,,,,,ADT Tu-Th,"43,595","46,122","48,402","47,572","48,591","47,432","42,398","46,351","46,700","46,477","48,580","44,422","46,297"
,,,,,ADT Sa,"34,013","35,583","38,410","36,272","37,818","36,271","30,683","33,675","37,996","36,149","39,866","35,672","36,142"
,,,,,ADT Su,"20,999","22,792","25,999","24,362","26,633","24,818","20,741","23,671","26,213","25,150","25,989","23,727","24,286"
018,"MEIRINGEN E, LAMMI",,BE,H 6,ADT,"2,265","2,563","2,515","2,919","3,709","7,062","7,336","8,594","6,036","4,383","2,599","2,461","4,382"
,,,,,AWT,"2,459","2,757","2,777","3,080","3,659","6,441","7,022","8,298","5,555","4,341","2,890","2,691","4,342"
